entry_time,exit_time,killzone,direction,entry_price,sl,tp,exit_price,result,pnl_pips,pnl_r
2024-01-10 08:30:00+00:00,2024-01-10 12:30:00+00:00,london,bullish,1.14314,1.13976,1.1499,1.14493,timeout,17.9,0.53
2024-01-10 19:55:00+00:00,2024-01-10 22:40:00+00:00,ny_pm,bearish,1.1436,1.14617,1.13845,1.14617,loss,-25.7,-1.0
2024-01-11 15:15:00+00:00,2024-01-11 16:45:00+00:00,ny_am,bearish,1.15821,1.16024,1.15413,1.15413,win,40.7,2.0
2024-01-11 19:25:00+00:00,2024-01-11 20:40:00+00:00,ny_pm,bullish,1.1515,1.14955,1.1554,1.14955,loss,-19.5,-1.0
2024-01-16 19:55:00+00:00,2024-01-16 20:00:00+00:00,ny_pm,bullish,1.17044,1.16906,1.17318,1.16906,loss,-13.7,-1.0
2024-01-16 19:55:00+00:00,2024-01-16 20:00:00+00:00,ny_pm,bullish,1.17044,1.16906,1.17318,1.16906,loss,-13.7,-1.0
2024-01-19 10:40:00+00:00,2024-01-19 11:20:00+00:00,london,bullish,1.19156,1.19038,1.19392,1.19038,loss,-11.8,-1.0
2024-01-19 10:40:00+00:00,2024-01-19 11:20:00+00:00,london,bullish,1.19156,1.19038,1.19392,1.19038,loss,-11.8,-1.0
2024-01-31 20:10:00+00:00,2024-01-31 20:25:00+00:00,ny_pm,bearish,1.19972,1.20092,1.19732,1.20092,loss,-12.0,-1.0
2024-02-01 21:00:00+00:00,2024-02-01 21:35:00+00:00,ny_pm,bearish,1.19583,1.19909,1.18931,1.19909,loss,-32.6,-1.0
2024-02-02 08:30:00+00:00,2024-02-02 12:30:00+00:00,london,bullish,1.19088,1.183,1.20666,1.18386,timeout,-70.3,-0.89
2024-02-02 15:10:00+00:00,2024-02-02 19:10:00+00:00,ny_am,bullish,1.18477,1.1792,1.1959,1.19348,timeout,87.2,1.57
2024-02-06 09:55:00+00:00,2024-02-06 13:55:00+00:00,london,bullish,1.19649,1.19174,1.20599,1.2,timeout,35.1,0.74
2024-02-07 15:00:00+00:00,2024-02-07 18:00:00+00:00,ny_am,bullish,1.20582,1.20116,1.21514,1.20116,loss,-46.6,-1.0
2024-02-09 14:55:00+00:00,2024-02-09 18:55:00+00:00,ny_am,bullish,1.25173,1.23858,1.27802,1.24989,timeout,-18.4,-0.14
2024-02-15 18:30:00+00:00,2024-02-15 22:30:00+00:00,ny_pm,bearish,1.236,1.24199,1.22403,1.237,timeout,-9.9,-0.17
2024-02-15 19:20:00+00:00,2024-02-15 20:15:00+00:00,ny_pm,bullish,1.23711,1.23511,1.24113,1.23511,loss,-20.1,-1.0
2024-02-16 09:15:00+00:00,2024-02-16 13:00:00+00:00,london,bearish,1.2334,1.23754,1.22512,1.22512,win,82.8,2.0
2024-02-19 08:30:00+00:00,2024-02-19 12:30:00+00:00,london,bearish,1.21865,1.22452,1.20692,1.21184,timeout,68.2,1.16
2024-02-20 15:35:00+00:00,2024-02-20 19:35:00+00:00,ny_am,bearish,1.21679,1.22499,1.20038,1.21104,timeout,57.5,0.7
2024-02-21 14:30:00+00:00,2024-02-21 18:30:00+00:00,ny_am,bearish,1.19724,1.20025,1.19121,1.19795,timeout,-7.2,-0.24
2024-02-22 18:30:00+00:00,2024-02-22 22:30:00+00:00,ny_pm,bearish,1.18906,1.19252,1.18214,1.19252,loss,-34.6,-1.0
2024-02-23 15:00:00+00:00,2024-02-23 15:30:00+00:00,ny_am,bearish,1.18827,1.19064,1.18352,1.19064,loss,-23.7,-1.0
2024-02-27 17:05:00+00:00,2024-02-27 18:05:00+00:00,ny_am,bullish,1.16692,1.16529,1.17017,1.16529,loss,-16.3,-1.0
2024-02-29 15:10:00+00:00,2024-02-29 15:20:00+00:00,ny_am,bearish,1.15915,1.16015,1.15716,1.16015,loss,-9.9,-1.0
2024-03-13 18:20:00+00:00,2024-03-13 22:20:00+00:00,ny_pm,bearish,1.18903,1.1961,1.17489,1.19142,timeout,-23.8,-0.34
2024-03-14 19:45:00+00:00,2024-03-14 20:10:00+00:00,ny_pm,bullish,1.17623,1.17373,1.18121,1.17373,loss,-24.9,-1.0
2024-03-15 15:00:00+00:00,2024-03-15 16:30:00+00:00,ny_am,bullish,1.18449,1.18265,1.18817,1.18817,win,36.8,2.0
2024-03-21 08:45:00+00:00,2024-03-21 12:45:00+00:00,london,bearish,1.12619,1.14442,1.08972,1.13012,timeout,-39.3,-0.22
2024-03-22 13:50:00+00:00,2024-03-22 14:35:00+00:00,ny_am,bearish,1.13462,1.13733,1.1292,1.13733,loss,-27.1,-1.0
2024-03-22 15:10:00+00:00,2024-03-22 15:15:00+00:00,ny_am,bearish,1.13647,1.13733,1.13476,1.13733,loss,-8.6,-1.0
2024-03-28 07:30:00+00:00,2024-03-28 11:30:00+00:00,london,bullish,1.10274,1.09534,1.11754,1.1008,timeout,-19.4,-0.26
2024-03-28 18:30:00+00:00,2024-03-28 19:10:00+00:00,ny_pm,bullish,1.09402,1.09106,1.09995,1.09995,win,59.3,2.0
